I0.phi_h X,I0.phi_h Y
9.944180768939242e-05,0.0001466026767939792
9.944186182252549e-05,0.000131660246852897
9.944192537353759e-05,0.0001135590823672974
9.944200027677187e-05,9.385256451237075e-05
9.94420773576117e-05,7.764080900529454e-05
9.944214776913554e-05,6.805691078590363e-05
9.94422500235906e-05,6.553496250747647e-05
9.94423463690079e-05,8.753784329922185e-05
9.944242299631616e-05,0.000152237947246474
9.944247862812216e-05,0.0002785120803031309
9.944251771256893e-05,0.0004552015616380286
9.944254847126079e-05,0.0006412587628201411
9.944257715879102e-05,0.0008181955182024699
9.944260440498007e-05,0.0009506069509662526
9.944262854739312e-05,0.00103328587839195
9.944265678230474e-05,0.001120416778636891
9.944268245223138e-05,0.001193262189921338
9.94427163438892e-05,0.001276644230725148
9.944275383949631e-05,0.001289652671298057
9.944276807902944e-05,0.001212335284247341
9.94427815217156e-05,0.001061830492282129
9.944279506569995e-05,0.0008563099014683445
9.944280880491471e-05,0.0006481879908447191
9.944281933914967e-05,0.0005167689795833868
9.944283017363245e-05,0.0004131188809609834
9.944284558611224e-05,0.000308338898718541
9.944286211926336e-05,0.0002348320303575527
9.944288017058961e-05,0.0001828071227491208
9.944289997490217e-05,0.0001446795054173322
9.944292291051025e-05,0.0001135454459660283
9.944295135248979e-05,8.505790126899494e-05
9.944298839730165e-05,5.726580819603776e-05
9.944303389539897e-05,3.226534488833666e-05
9.944308764549225e-05,1.247182731985126e-05
9.944314760787735e-05,8.87392166162715e-07
9.944321156234404e-05,-3.093592189680843e-06
9.944328261485591e-05,-3.260978638183676e-06
9.944336932101563e-05,-2.3941038426872e-06
9.944345412933562e-05,-2.249436770775433e-06
9.944357279158463e-05,-3.215002748489297e-06
9.944367963844888e-05,-4.02936722970385e-06
9.944377091571048e-05,-4.259189082325609e-06
9.944387237713272e-05,-4.223299766010953e-06
9.944400030203851e-05,-4.195949544744528e-06
9.944416663542779e-05,-4.198441927264872e-06
9.944436734132993e-05,-4.183638922772388e-06
9.944459657657135e-05,-4.131355784199574e-06
9.944486265044369e-05,-4.04820664478724e-06
9.944517921442606e-05,-3.936334558375028e-06
9.94455608698765e-05,-3.788102355411973e-06
9.944602534422787e-05,-3.588653769053183e-06
9.944659902507043e-05,-3.314123150116381e-06
9.944732206316982e-05,-2.92910644408322e-06
9.944824711937366e-05,-2.398029085671497e-06
9.944930797382329e-05,-1.798052532742713e-06
9.945049171223151e-05,-1.226055615417934e-06
9.945154771109818e-05,-8.46524531905688e-07
9.945259398069241e-05,-5.766564710213519e-07
9.945370966397672e-05,-3.778964639428189e-07
9.945484984798195e-05,-2.435785999579216e-07
9.945607897680104e-05,-1.512146314310854e-07
9.945745403670661e-05,-8.806658819864408e-08
9.945904040681724e-05,-4.58780016795206e-08
9.946093010332408e-05,-1.861629157556697e-08
9.946325215656149e-05,-1.962703244130252e-09
9.946619854610381e-05,7.244627522742231e-09
9.946990531078557e-05,1.125817643326591e-08
9.947441764713639e-05,1.224597325895462e-08
9.947991616943212e-05,1.205618003535785e-08
9.94866565380603e-05,1.177941261896337e-08
9.949491302482662e-05,1.18551862111705e-08
9.95049739216639e-05,1.229489846494349e-08
9.951717636062644e-05,1.294781746940772e-08
9.953192847362437e-05,1.367951962206046e-08
9.954972925637293e-05,1.441551014702512e-08
9.957123050143247e-05,1.511861811041264e-08
9.959743163952802e-05,1.576689715035695e-08
9.962975085808158e-05,1.633964441194095e-08
9.966832390211442e-05,1.679706155582822e-08
9.970870329793744e-05,1.709904208250375e-08
9.97441087167557e-05,1.726422318090587e-08
9.97812042782892e-05,1.737416636234584e-08
9.983490814083347e-05,1.746805873004792e-08
9.992000000000001e-05,1.753816926661864e-08
9.993003114947849e-05,1.754050721979226e-08
9.993999310253146e-05,1.754270344430917e-08
9.995487862062011e-05,1.754565568475247e-08
9.998464965679739e-05,1.755048351828339e-08
0.000100044191729152,1.755688655017792e-08
0.0001001632758738611,1.75614953174318e-08
0.0001004014441632794,1.755408666040383e-08
0.0001008777807421159,1.7514717180617e-08
0.0001014388903710579,1.745647951281139e-08
0.000102,1.739820794972559e-08
0.0001020012332824644,1.735436706141981e-08
0.0001020021148662866,1.753397138555805e-08
0.000102003878033931,1.732666890185671e-08
0.0001020060028302573,1.740109528654342e-08
0.0001020102524229099,1.739790300037918e-08
0.0001020187516082151,1.73962474556246e-08
0.0001020357499788255,1.739449848112501e-08
0.0001020697467200463,1.739101947960141e-08
0.0001021377402024879,1.738420699521705e-08
