I0.phi_s X,I0.phi_s Y
0.0001024846045784799,-5.944710276798837e-07
0.000102484873229681,-3.993557140609622e-07
0.000102485192968114,-2.430125261069934e-07
0.0001024855777172232,-1.259787138340956e-07
0.0001024860457392374,-4.663398313819861e-08
0.0001024865801838589,-2.784321117678129e-09
0.0001024872153395448,1.80956543331022e-08
0.0001024879244985346,2.432963251326961e-08
0.00010248871494903,2.422455695824675e-08
0.0001024896088634403,2.231313198475733e-08
0.0001024906345787927,2.054252462243292e-08
0.0001024918344744641,1.943251442846231e-08
0.0001024931571389438,1.89198137525966e-08
0.0001024945486380631,1.873347821118275e-08
0.0001024961260773213,1.867132910251048e-08
0.0001024977577693823,1.866319357107047e-08
0.0001024995000672887,1.867722612065721e-08
0.0001025015327205336,1.8703801930089e-08
0.0001025040427522553,1.873884808154502e-08
0.0001025070741498569,1.87742625488622e-08
0.0001025107792263733,1.880167687319725e-08
0.0001025153025692462,1.881173982048666e-08
0.0001025208394489739,1.879476864731843e-08
0.0001025276072083604,1.874011279932453e-08
0.0001025358608051974,1.863600328769977e-08
0.0001025458965143408,1.846998099309094e-08
0.0001025580640735405,1.823022344780314e-08
0.0001025727783423308,1.790809390923775e-08
0.0001025905471406505,1.75019485231997e-08
0.0001026120419236747,1.702159108346827e-08
0.0001026382975307644,1.649381904912177e-08
0.0001026708770111557,1.59672384531558e-08
0.0001027096683975173,1.55432185750245e-08
0.0001027499844675207,1.532011326152782e-08
0.0001027852863497298,1.527660254048341e-08
0.0001028226428085708,1.534124050387555e-08
0.0001028772599611262,1.555579222052846e-08
0.00010296,1.599600786456112e-08
0.00010297305920156,1.607736055942394e-08
0.0001029839753911845,1.614492719699217e-08
0.0001029985288210549,1.62330867817933e-08
0.0001030276356807957,1.640233608409314e-08
0.0001030858494002773,1.670984717196759e-08
0.0001032022768392405,1.720454400090872e-08
0.0001033281566840845,1.758647729931104e-08
0.0001034602389060551,1.785825975891227e-08
0.000103603855219554,1.805195908776188e-08
0.0001037607898371351,1.818795873693685e-08
0.0001039373520411817,1.828578455355824e-08
0.0001041418732277393,1.835766427867173e-08
0.0001043871855359398,1.841034033691827e-08
0.0001046989823479991,1.844663183026358e-08
0.0001051536246430607,1.846575563123991e-08
0.0001057452124788569,1.846091055431929e-08
0.0001063232552000287,1.844201697313913e-08
0.0001069076596340228,1.841882885869594e-08
0.0001075546208357007,1.839363003108979e-08
0.0001083003651976831,1.836740284979519e-08
0.0001090999196631881,1.834308126515994e-08
0.0001097687740403029,1.832415782106431e-08
0.0001105572173792519,1.829988246174195e-08
0.0001111535992127372,1.845541056968767e-08
0.0001117344218534482,1.855612519681115e-08
0.0001125674515493898,1.848497204678687e-08
0.0001131217671269526,1.847831597699847e-08
